lab_number,relation,dob,name,surname,kit_number,batch_number,report_number,process_date,status,notes
24_1,child(24_2) f,4-Jan-2024,John,Smith,111LDSK,LDS_35,LDSR_79,5-Jan-2024,urgent,
24_2,alleged father,4-Jan-2024,Robert,Smith,111LDSK,LDS_35,LDSR_79,5-Jan-2024,urgent,
24_3,Child (24_4) M,4-Jan-2024,Michael,Johnson,113LDSK,LDS_35,LDSR_80,5-Jan-2024,urgent,
24_4,alleged father,4-Jan-2024,David,Johnson,113LDSK,LDS_35,LDSR_80,5-Jan-2024,urgent,
24_5,Child (24_6) F,4-Jan-2024,Sarah,Williams,115LDSK,LDS_35,LDSR_81,5-Jan-2024,urgent,
24_6,alleged father,4-Jan-2024,James,Williams,115LDSK,LDS_35,LDSR_81,5-Jan-2024,urgent,
24_7,child(24_8) M,4-Jan-2024,Daniel,Brown,104LDSK,LDS_35,LDSR_82,5-Jan-2024,urgent,
24_8,Alleged father,4-Jan-2024,William,Brown,104LDSK,LDS_35,LDSR_82,5-Jan-2024,urgent,
24_9,child(24_10) M,4-Jan-2024,Matthew,Davis,112LDSK,LDS_35,LDSR_83,11-Jan-2024,,
24_10,Alleged father,4-Jan-2024,Christopher,Davis,112LDSK,LDS_35,LDSR_83,11-Jan-2024,,
24_11,child(24_12) F,4-Jan-2024,Emily,Miller,114LDSK,LDS_35,LDSR_85,11-Jan-2024,ReRun,
24_12,Alleged father,4-Jan-2024,Joseph,Miller,114LDSK,LDS_35/36,LDSR_85,11-Jan-2024,ReRun,
LT24_13,child(LT24_14) M,9-Jan-2024,Anthony,Wilson,117LDSK,LDS_36,LDSR_4LT,11-Jan-2024,urgent,
LT24_14,Alleged Father(LT24_13),9-Jan-2024,Thomas,Wilson,117LDSK,LDS_36,LDSR_4LT,11-Jan-2024,urgent,
LT24_15,Mother(LT24_13),9-Jan-2024,Linda,Wilson,117LDSK,LDS_36,LDSR_4LT,11-Jan-2024,urgent,
24_16,child(24_17) F,4-Jan-2024,Jessica,Garcia,116LDSK,LDS_36,LDSR_86,5-Jan-2024,,
